review_id,dt,rating,sentiment,review
50,10/04/12 04:00,3,neutral,Same stuff
51,19/02/08 03:00,1,negative,Dont like it
52,02/06/09 04:00,5,positive,HOT!  And good!  Came back for more  :)
53,29/09/12 04:00,4,neutral,Youll go nuts over Ass-Kickin Peanuts.
54,02/07/10 04:00,3,neutral,not ass kickin
55,28/11/11 04:00,4,neutral,Roasts up a smooth brew
56,05/10/12 04:00,5,positive,Our guests love it!
57,28/11/11 04:00,5,positive,Awesome Deal!
58,05/05/12 04:00,5,positive,How can you go wrong!
59,04/11/11 04:00,5,positive,Awsome - Kids in neighborhood loved us!
60,01/11/11 04:00,5,positive,great deal.
61,16/10/11 04:00,3,neutral,Better price for this at Target
62,24/10/11 04:00,5,positive,pretty expensive
63,06/07/08 04:00,1,negative,stale product.
64,04/04/12 04:00,5,positive,Hammer Nutrition s Fizz Rocks!
65,05/04/12 04:00,5,positive,great source of electrolytes
66,12/03/12 04:00,5,positive,Great for preventing cramps
67,17/08/12 04:00,5,positive,Low Carb Alternative to Gatorade
68,31/05/12 04:00,2,neutral,Taste is not so good.
69,20/01/07 03:00,3,neutral,How much would you pay for a bag of chocolate pretzels?
70,30/07/07 04:00,5,positive,pretzel haven!
71,01/10/09 04:00,5,positive,Great Gummi!
72,09/11/10 03:00,5,positive,Bigger then other brands
73,20/01/12 04:00,5,positive,Best ever latice tart
74,30/04/12 04:00,1,negative,Warning!  WARNING!  -ALCOHOL SUGARS!
75,22/10/10 04:00,2,neutral,nothing special
76,28/05/10 04:00,1,negative,No Tea Flavor
77,24/09/12 04:00,5,positive,Good
78,21/09/12 04:00,5,positive,Taste great
79,07/09/12 04:00,3,neutral,Order only in cold weather
80,14/08/12 04:00,5,positive,this is the best
81,29/12/11 04:00,5,positive,Delicious!
82,23/12/11 04:00,4,neutral,Great
83,04/01/12 04:00,5,positive,Forget Molecular Gastronomy - this stuff rockes a coffee creamer!
84,25/03/11 03:00,3,neutral,Natural Balance Lamb and Rice
85,13/08/11 04:00,3,neutral,INCREASED MY DOGS ITCHING
86,21/12/10 03:00,5,positive,Great food!
87,06/04/12 04:00,5,positive,Great for my dogs allergies
88,10/11/11 04:00,5,positive,Great for stomach problems!
89,26/07/11 04:00,5,positive,Better life for you dog!
90,12/09/12 04:00,5,positive,Great Food
91,26/04/12 04:00,5,positive,Great food for my my dog who has a sensitive stomach.
92,21/04/12 04:00,5,positive,Great dog food
93,09/04/12 04:00,5,positive,Mmmmm  Mmmmm good.
94,24/02/12 04:00,5,positive,Great Dog Food!
95,19/02/12 04:00,5,positive,So convenient
96,01/11/11 04:00,5,positive,Good healthy dog food
97,26/04/11 04:00,5,positive,Great dog food
98,10/02/11 03:00,5,positive,"Great allergy sensitive dog food, dogs love it"
99,18/01/11 03:00,5,positive,Perfect for our English Bulldog with Allergies
100,08/03/12 04:00,1,negative,Bad
101,27/01/09 03:00,5,positive,Taste wise it is a 6 star item
102,26/10/09 03:00,4,neutral,Great Support
103,23/04/12 04:00,4,neutral,TART!
104,18/03/12 04:00,5,positive,Omaha Apple Tartlets
105,13/01/12 04:00,5,positive,Loved these Tartlets
106,22/06/11 04:00,5,positive,The best
107,07/03/09 03:00,3,neutral,disappointing
108,18/01/11 03:00,5,positive,Wasting Vinegar on a Cucumber is a Shame!
109,31/05/09 04:00,5,positive,Asparagus Bliss
110,19/09/11 04:00,5,positive,My Idea of a Good Diet Food.
111,21/08/09 04:00,2,neutral,Low Carb Angel Food Puffs
112,16/02/11 03:00,5,positive,Delicious tea
113,26/05/12 04:00,5,positive,My every day green tea
114,25/06/11 04:00,5,positive,the best tea ever... freah bright clean
115,30/03/12 04:00,5,positive,Tea review
116,15/01/12 04:00,5,positive,Wonderful Tea
117,09/05/11 04:00,5,positive,Great cookies
118,15/09/12 04:00,5,positive,Best everyday cookie!
119,29/11/10 03:00,5,positive,So Far So Good
120,18/12/11 04:00,5,positive,Best Cat Food
121,02/07/11 04:00,5,positive,Great food.
122,06/03/12 04:00,5,positive,Perfect Cat Food For Older Cats!
123,12/08/11 04:00,5,positive,Good for Feline UTI
124,17/12/10 03:00,5,positive,Palatable and healthy
125,01/10/12 04:00,5,positive,Healthy & They LOVE It!
126,11/07/12 04:00,5,positive,Wonderful food - perfect for allergic kitties
127,12/04/12 04:00,5,positive,Holistic select cat food
128,06/01/12 04:00,4,neutral,Tastes great. Love Hot & Spicy. Bad price here.
129,28/08/11 04:00,5,positive,My favorite ramen
130,17/02/12 04:00,3,neutral,It burns!
131,29/02/12 04:00,5,positive,Amazing to the last bite.
132,14/12/11 04:00,2,neutral,Not for me
133,30/07/12 04:00,5,positive,Great spicy flavor
134,20/04/12 04:00,5,positive,Great value and convenient ramen
135,17/04/12 04:00,5,positive,great flavor
136,07/04/12 04:00,4,neutral,"Tastes great, but is cheaper locally."
137,09/10/12 04:00,5,positive,Tastes awesome & looks beautiful
138,12/07/12 04:00,5,positive,Happy Face
139,14/02/12 04:00,5,positive,Simply the BEST!
140,11/03/10 03:00,5,positive,Excellent Product/Life Saver
141,28/08/11 04:00,4,neutral,Nice snack
142,03/04/11 04:00,4,neutral,Good Licorice
143,30/09/10 04:00,5,positive,I love these!!!!!!!!
144,21/03/10 03:00,5,positive,Great for the kids!
145,18/04/10 04:00,3,neutral,Bite sized
146,18/04/09 04:00,5,positive,Sweet with a nice kick!
147,22/10/08 04:00,2,neutral,BROKEN BOTTLE BOTTOMS!
148,08/08/12 04:00,5,positive,Love the salsa!!
149,16/10/12 04:00,3,neutral,Ehhh...
150,10/01/12 04:00,5,positive,awesome cornmeal
151,05/07/12 04:00,5,positive,GREAT marinade!
152,22/04/12 04:00,5,positive,Awesome stuff
153,15/01/12 04:00,4,neutral,tastes good
154,27/12/11 04:00,1,negative,Rip off Price
155,01/03/10 03:00,5,positive,JELL-O
156,12/12/11 04:00,5,positive,Great flavor of Jell-o.
157,28/01/12 04:00,5,positive,Great Deal
158,06/10/12 04:00,5,positive,Great tasting sea salt WITH iodine
159,06/12/09 03:00,5,positive,tastes very fresh
160,13/09/11 04:00,5,positive,Simple but good
161,05/12/11 04:00,5,positive,tasty!
162,03/10/12 04:00,3,neutral,Not the greatest tasting..
163,22/09/12 04:00,4,neutral,Not Bad
164,20/09/12 04:00,5,positive,"Right size, taste"
165,22/03/10 03:00,1,negative,Tasteless but low calorie
166,01/06/12 04:00,5,positive,This stuff is sooooo good!
167,11/04/12 04:00,5,positive,Best Stuff Ever
168,20/08/12 04:00,1,negative,Very Low quality
169,13/10/12 04:00,1,negative,Not Banana Runts
170,24/08/12 04:00,3,neutral,Banana Heads Not Banana Runts
171,13/08/12 04:00,5,positive,Worked great!
172,01/09/10 04:00,5,positive,Ricore forever
173,30/12/09 03:00,5,positive,Delicious!
174,14/08/12 04:00,5,positive,"Fluffy, Soft, Delicious and Sugary Sweet"
175,03/08/10 04:00,4,neutral,Great but not as good as it was back in the day as a teen
176,13/03/11 03:00,5,positive,EXCELLENT LEMON JUICE
177,30/12/11 04:00,5,positive,Great Product
178,09/09/11 04:00,5,positive,Handy
179,02/01/11 03:00,4,neutral,ReaLemon Juice from Amazon.
180,26/08/11 04:00,4,neutral,"relaxing, almost like something you smoke"
181,31/01/12 04:00,4,neutral,Never paid that much !
182,13/06/12 04:00,5,positive,Marleys Mellow Mood Lite - Half Tea Half Lemonade
183,18/04/12 04:00,3,neutral,Great product to help you sleep
184,19/12/10 03:00,5,positive,Perfect for gluten-free chocolate chip cookies
185,25/02/09 03:00,5,positive,Garbonzo  Bean Flour
186,18/05/12 04:00,5,positive,yum falafel
187,08/04/12 04:00,5,positive,"Make a fresh fruit tart, light and beautiful"
188,04/03/09 03:00,5,positive,Miracle
189,27/08/11 04:00,4,neutral,not bad for instant healthy coffee
190,25/06/12 04:00,3,neutral,Its ok
191,07/06/12 04:00,5,positive,I love it!
192,29/05/12 04:00,5,positive,great taste and has health benefits!
193,04/05/12 04:00,5,positive,Tastes Great. Arrived in 2 days!
194,14/12/11 04:00,5,positive,Great for after lunch
195,12/09/10 04:00,4,neutral,"Nice little mints, but pricey."
196,18/03/11 03:00,5,positive,Altoids mini mints tins
197,17/05/10 04:00,5,positive,Altoids Smalls-Wintergreen
198,07/07/10 04:00,3,neutral,Sugarfree...
199,12/02/10 03:00,5,positive,Tasty!!
200,12/08/12 04:00,5,positive,These mints are awesome!
201,04/03/12 04:00,2,neutral,Altoids Smalls
202,08/11/11 04:00,5,positive,Love these! And reusable containers
203,05/11/11 04:00,5,positive,Altoids
204,25/09/11 04:00,4,neutral,A huge hit at the office!
205,28/11/11 04:00,5,positive,"Love em, theyre great!"
206,19/04/10 04:00,5,positive,Love these!
207,05/09/11 04:00,5,positive,fresh!
208,30/08/11 04:00,5,positive,Wintergreen Me
209,28/08/11 04:00,1,negative,These just dont do it for me as breath mints
210,05/03/11 03:00,5,positive,"better than average, more expensive than average."
211,07/03/10 03:00,5,positive,My cat loves it!
212,03/09/11 04:00,5,positive,Great For Fat Cats and Senior Citizens
213,13/07/11 04:00,2,neutral,Nearly killed the cats
214,01/09/08 04:00,1,negative,CHANGED FORMULA MAKES CATS SICK!!!!
215,09/11/11 04:00,4,neutral,Best by the case
216,16/11/10 03:00,5,positive,Looking for a different flavor?
217,27/01/11 03:00,1,negative,Price cannot be correct
218,15/09/12 04:00,3,neutral,More Hot/Spicy than McCormicks Brand
219,14/02/10 03:00,5,positive,Ahmad Loose Imperial Blend Tea is great for the price
220,28/04/10 04:00,5,positive,Nice tea
221,22/10/12 04:00,5,positive,A fragrant tea
222,15/07/11 04:00,5,positive,Best Ahmad Tea
223,14/06/11 04:00,5,positive,My favorite tea
224,04/03/12 04:00,5,positive,Best tea ever!
225,22/08/10 04:00,2,neutral,Not a real tea
226,25/01/10 03:00,4,neutral,DELICIOUS
227,27/08/12 04:00,5,positive,Best Bloody Mary mixer
228,28/05/12 04:00,5,positive,The Best
229,10/04/12 04:00,5,positive,Mcclures bloody Mary mix
230,22/08/12 04:00,1,negative,Not Good
231,10/09/12 04:00,5,positive,Love this tea!
232,08/04/12 04:00,5,positive,Really Nice Taste!
233,31/07/12 04:00,5,positive,just give me some watermelon and citron sea salt
234,31/07/12 04:00,1,negative,Furniture Polish Taste
235,20/04/11 04:00,5,positive,Big tub o salt
236,09/04/11 04:00,2,neutral,"Taste is neutral, quantity is DECEITFUL!"
237,10/07/12 04:00,5,positive,Eukanuba puppy small breed dog food
238,09/03/12 04:00,4,neutral,High Quality... But it gave my dog wicked gas..
239,28/02/12 04:00,5,positive,Great tasting green tea and such a great deal.
240,20/10/12 04:00,5,positive,OMG best chocolate jelly belly
241,03/03/12 04:00,5,positive,Excellent loose tea.
242,14/12/11 04:00,5,positive,Good anytime hot tea
243,14/04/11 04:00,5,positive,My everyday cup of Tea
244,29/04/10 04:00,4,neutral,This is what you get in the store
245,29/05/10 04:00,4,neutral,Ahmad Tea
246,20/06/09 04:00,2,neutral,Disappointed
247,01/06/12 04:00,5,positive,Wonderful!
248,14/10/12 04:00,5,positive,Best way to buy kcups
249,27/06/12 04:00,5,positive,delicious
250,11/04/10 04:00,5,positive,keeps you out of the dentest chair
251,14/04/12 04:00,5,positive,Super!  SuperFoods are Super easy!
252,07/08/11 04:00,3,neutral,Pok Chops
253,10/08/12 04:00,1,negative,Sad outcome
254,06/09/12 04:00,4,neutral,Best Energy Shot For Me
255,16/06/12 04:00,1,negative,Dont Waste Your Money
256,05/10/11 04:00,2,neutral,"If you cant handle caffeine, this is not for you."
257,11/09/12 04:00,5,positive,"Yum, Yummy, Yummier"
258,20/09/12 04:00,1,negative,Reeks like chemicals
259,17/08/12 04:00,2,neutral,Disappointed!
260,24/09/12 04:00,5,positive,Great for Gluten-free lifestyle!!
261,15/05/12 04:00,5,positive,my dog loves these
262,25/02/11 03:00,5,positive,YUMMY
263,04/12/07 03:00,5,positive,sugar in the raw
264,17/01/11 03:00,3,neutral,Manufacturing Problems Diminish Product
265,16/06/12 04:00,5,positive,Good product but terrible agricultural practices
266,01/12/08 03:00,5,positive,Sugar in the raw
267,02/08/08 04:00,5,positive,Sugar in the raw
268,03/08/12 04:00,1,negative,Lie!!!!
269,04/05/12 04:00,4,neutral,Its sugar..
270,10/08/11 04:00,4,neutral,Excellent but not perfect
271,14/04/11 04:00,4,neutral,Good product
272,16/02/11 03:00,5,positive,Youll never use white sugar again.
273,06/02/11 03:00,3,neutral,Thanks for the review Scott
274,04/02/11 03:00,5,positive,great
275,29/09/10 04:00,5,positive,Awesome Sugar!
276,15/12/09 03:00,4,neutral,Great product - weak packaging
277,24/09/09 04:00,5,positive,Excellent!
278,31/07/12 04:00,5,positive,Excellent for G/F
279,07/09/11 04:00,5,positive,Amazing!
280,02/06/10 04:00,5,positive,Very tasty chips!
281,27/04/10 04:00,5,positive,YUMMY
282,14/07/09 04:00,5,positive,Excellent Taste
283,04/08/10 04:00,1,negative,Over priced chips and lack rice taste
284,07/09/10 04:00,5,positive,Rotel saves me on a daily basis
285,26/12/09 03:00,5,positive,"its fabulous, but *not* from amazon!"
286,12/09/08 04:00,3,neutral,too expensive
287,31/07/10 04:00,3,neutral,Not mild enough for me lol
288,11/06/10 04:00,5,positive,Great Natural Energy
289,27/07/10 04:00,5,positive,I like this stuff
290,09/03/10 03:00,5,positive,Great Energy
291,20/11/09 03:00,3,neutral,Not sure
292,22/07/11 04:00,5,positive,"The best energy shot out there, smooth and organic!"
293,02/03/11 03:00,5,positive,"Fantastic, natural energy"
294,12/01/11 03:00,5,positive,Way better than Guayaki!
295,05/12/09 03:00,3,neutral,Doesnt taste that good but provides you the energy
296,01/12/11 04:00,5,positive,Rocket in a Bottle
297,26/11/11 04:00,4,neutral,This stuff works!!!
298,23/04/12 04:00,5,positive,Favorite energy shot and all natural too!
299,19/04/12 04:00,5,positive,natural energy boost
300,05/11/11 04:00,5,positive,Best energy shot I have ever tasted!
301,11/09/12 04:00,5,positive,The Best
302,23/08/12 04:00,5,positive,Tested by a trucker
303,12/08/12 04:00,5,positive,Good Stuff
304,09/06/12 04:00,5,positive,Great energy drink without artificial ingredients
305,03/04/12 04:00,5,positive,"Flavor getting better, energy is great"
306,17/01/12 04:00,1,negative,So awful I can barely describe
307,21/10/10 04:00,4,neutral,could use only once
308,02/10/12 04:00,5,positive,VANILLA TOOTSIE ROLLS
309,04/03/11 03:00,5,positive,One of my Favoritte foods
310,05/11/11 04:00,5,positive,Fantastic!
311,11/05/11 04:00,5,positive,WOW
312,29/07/12 04:00,1,negative,Very Dissapointed
313,09/12/11 04:00,1,negative,what quantity is it!
314,30/06/12 04:00,5,positive,Very Good Coffee
315,22/11/10 03:00,5,positive,Very Tasty
316,11/03/10 03:00,5,positive,Excellent coffee
317,23/03/12 04:00,5,positive,Hot!
318,14/08/09 04:00,5,positive,Hot and delicious
319,20/10/12 04:00,5,positive,Swiss Chalet
320,23/09/11 04:00,5,positive,Oyster Sauce
321,15/05/11 04:00,5,positive,ABSOLUTELY DELICIOUS!
322,11/01/07 03:00,5,positive,Great gag gift
323,20/01/09 03:00,3,neutral,arrived FAST
324,13/01/08 03:00,3,neutral,Penguin Pooper
325,09/01/07 03:00,1,negative,Never Arrived
326,19/08/12 04:00,5,positive,coffee-mate coffee creamer hazelnut
327,13/07/12 04:00,5,positive,No broken creamers!
328,25/06/12 04:00,4,neutral,Shipped great
329,03/05/12 04:00,5,positive,Better Packaging
330,26/02/12 04:00,5,positive,coffee-mate creamer
331,17/01/12 04:00,5,positive,Perfect for work
332,10/10/12 04:00,1,negative,AWFUL
333,09/05/12 04:00,5,positive,Pop-Tarts Work of Art
334,08/11/11 04:00,5,positive,"Yes, this is real excellent coffee!!!"
335,11/05/12 04:00,1,negative,Does not taste very good
336,14/01/12 04:00,1,negative,No no
337,19/10/12 04:00,5,positive,The king of all seasoning salts.
338,19/08/12 04:00,5,positive,Toasted Sesame oil
339,08/09/12 04:00,5,positive,"Tasty, tasty tasty!"
340,16/01/07 03:00,5,positive,"Love, Love, Love These!"
341,13/08/10 04:00,4,neutral,"great for eating whole foods, clean with veggie brush"
342,25/09/07 04:00,5,positive,Absolutely LOVE IT!!
343,27/05/07 04:00,3,neutral,Only good for ice
344,10/03/07 03:00,5,positive,Great for teething
345,10/03/07 03:00,3,neutral,Wonderful idea-difficult to clean.
346,16/02/07 03:00,3,neutral,I wasnt that impressed
347,11/01/07 03:00,4,neutral,Love the Fresh Food Feeder!!
348,06/04/08 04:00,5,positive,Great Beans!!!
349,21/12/07 03:00,5,positive,Good stuff!
350,12/05/07 04:00,5,positive,excellent - exactly what I expected
351,13/06/07 04:00,5,positive,These are the Best!
352,15/09/12 04:00,5,positive,Love Love Love
353,19/11/09 03:00,5,positive,The product is great but the price is out of line
354,29/07/10 04:00,5,positive,Swedish Pearl is not the same as  Belgian Pearl
355,07/12/10 03:00,5,positive,Perfect!
356,13/03/12 04:00,5,positive,great taste
357,12/02/11 03:00,5,positive,Taste-tested by a wine maker
358,11/11/11 04:00,4,neutral,Excellent Everyday Olive Oil
359,18/09/12 04:00,4,neutral,"Love Weavers, I am a fan."
360,10/10/11 04:00,5,positive,Make My Day
361,16/10/11 04:00,5,positive,Treat yourself to the best coffee!
362,21/08/12 04:00,1,negative,Bitter
363,01/02/12 04:00,5,positive,"Drinking it now, love the latin america aroma"
364,16/12/11 04:00,5,positive,GREAT SNACK
365,17/09/11 04:00,5,positive,Best Bar
366,29/08/12 04:00,5,positive,Cant find anywhere else!
367,04/06/12 04:00,5,positive,My New Granola Bar
368,26/05/11 04:00,5,positive,Another Husband Favorite
369,07/09/10 04:00,4,neutral,Price surprise
370,19/08/10 04:00,5,positive,Very Smooth Coffee - Highly Recommended
371,21/01/12 04:00,4,neutral,A saving grace for Green Mountain Coffee...
372,15/08/11 04:00,5,positive,My favorite
373,18/05/11 04:00,4,neutral,Good Coffee
374,02/03/11 03:00,5,positive,Nantucket blend k-cups
375,17/09/12 04:00,5,positive,Fantastic Chicken Noodle soup
376,18/06/12 04:00,5,positive,Greatest Oil since slice bread !!!!!!!
377,06/08/11 04:00,5,positive,Best Ever!
378,23/04/12 04:00,5,positive,Deliciously scrumptious
379,14/10/12 04:00,5,positive,Heinz no more!
380,09/05/12 04:00,5,positive,This is really good stuff
381,05/05/12 04:00,3,neutral,Disappointing
382,29/06/11 04:00,1,negative,Waste of money
383,11/08/11 04:00,5,positive,Porcini Mushrooms an excellent product
384,23/04/12 04:00,5,positive,"Excellent flavor, mostly large pieces"
385,01/01/12 04:00,5,positive,The Best
386,16/12/11 04:00,5,positive,Good for the money
387,20/10/11 04:00,4,neutral,"not the highest quality, but good for the price."
388,02/08/11 04:00,5,positive,Fresh - Whole.. perfect
389,20/01/11 03:00,5,positive,Fresh and Tasty
390,17/02/09 03:00,4,neutral,Valentine gift winner
391,18/12/10 03:00,2,neutral,Cat wont go near it!
392,18/12/10 03:00,5,positive,Simply WIld Chick & Brown RIce for Cats
393,22/05/11 04:00,5,positive,Ham Base
394,09/09/12 04:00,1,negative,MSG Ham Base
395,09/09/07 04:00,5,positive,Delisious Pancakes
396,07/07/10 04:00,5,positive,A Great All Around Mix
397,10/07/08 04:00,5,positive,Great mix
398,29/04/08 04:00,5,positive,Perfect mix for egg-allergic!
399,13/01/08 03:00,5,positive,Arrowhead Mills whole grain buttermilk Pancakes are easy!
400,27/11/09 03:00,4,neutral,Good for Egg Allergy
401,11/08/07 04:00,3,neutral,Love the product disappointed in the shipping.
402,10/07/07 04:00,1,negative,poor item packaging
403,05/04/08 04:00,1,negative,Awful
404,22/07/12 04:00,1,negative,disappointing
405,14/11/09 03:00,5,positive,Great Healthy Snack
406,31/12/07 03:00,5,positive,Sweet and Soothing
407,30/10/10 04:00,5,positive,minty flavor
408,13/06/12 04:00,5,positive,Ingredients take about 2 seconds to read
409,11/11/09 03:00,5,positive,A Fantastic & Healthy Product
410,26/07/12 04:00,5,positive,Great product
411,04/07/12 04:00,5,positive,Excellent tea!
412,02/02/12 04:00,5,positive,frenchs roastn bags
413,23/08/10 04:00,5,positive,best roast ever
414,30/01/10 03:00,5,positive,Franchs is the best
415,09/04/11 04:00,5,positive,Double the pleasure!
416,09/05/12 04:00,5,positive,VERY GOOD! Great taste and easy for a single guy!
417,13/08/12 04:00,5,positive,An acquired taste!
418,10/08/11 04:00,1,negative,Look elsewhere for your whole grains
419,15/08/12 04:00,5,positive,Hey!
420,16/07/12 04:00,4,neutral,These are Famous for a reason.
421,22/05/12 04:00,5,positive,Wow
422,26/04/12 04:00,5,positive,"God, I love these cookies!!!"
423,26/04/12 04:00,4,neutral,Hard
424,17/04/12 04:00,5,positive,Kettle potato chips:  Fully loaded baked potato
425,13/04/12 04:00,5,positive,"Fresh, Lightly-Spiced, Crunchy Kettle Chips. Good Value, Good Product."
426,10/04/12 04:00,4,neutral,glad to find them in 1 oz size
427,10/04/12 04:00,4,neutral,"pretty good, could be better"
428,06/04/12 04:00,5,positive,a slight taste of jalapeno
429,16/03/12 04:00,5,positive,Best chips ever
430,07/03/12 04:00,5,positive,Kettle potato chips:  Sweet onion
431,05/03/12 04:00,5,positive,Ridiculously Good
432,30/01/12 04:00,5,positive,Delicious!
433,24/01/12 04:00,4,neutral,PUCKER UP
434,16/01/12 04:00,5,positive,I love these chips.  They are thick and crunchy!
435,09/01/12 04:00,4,neutral,Quite good
436,09/01/12 04:00,5,positive,Delicious
437,05/01/12 04:00,5,positive,Salty and vinegary!!!
438,02/12/11 04:00,5,positive,WOW!!!!
439,20/11/11 04:00,5,positive,Best gluten-free dairy-free chips
440,11/09/11 04:00,4,neutral,A unique flavor for fans of Thai food
441,07/05/11 04:00,3,neutral,"Honey Dijon leaves bad aftertaste, NY Cheddar are pretty good"
442,06/05/11 04:00,5,positive,Yowzah!!
443,24/03/11 03:00,4,neutral,Very good.
444,20/03/11 03:00,5,positive,Excellent!
445,17/02/11 03:00,5,positive,Tangy goodness.
446,13/02/11 03:00,3,neutral,Heavy on the Vinegar
447,25/01/11 03:00,4,neutral,"A delicious, crisp chip with good flavor"
448,18/12/10 03:00,5,positive,BEST BUY in BBQ Chips
449,24/11/10 03:00,5,positive,Love Them!
450,21/11/10 03:00,5,positive,Crunchy and Tasty
451,08/11/10 03:00,5,positive,Convenience at low cost
452,05/11/10 03:00,3,neutral,An Acquired Taste
453,18/10/10 04:00,5,positive,Best deal ever!
454,12/08/10 04:00,5,positive,Yum!
455,21/02/10 03:00,5,positive,Barbeque perfection
456,20/01/10 03:00,5,positive,Excellent Thai-flavored chip
457,16/11/09 03:00,5,positive,Best Kettle Chips!
458,13/11/09 03:00,5,positive,The Supreme Salt & Vinegar
459,21/10/09 04:00,5,positive,Delicious as always!
460,19/08/09 04:00,5,positive,OooH Yummy!
461,05/08/09 04:00,4,neutral,Not quite the best...
462,16/06/09 04:00,4,neutral,want to gaain twenty pounds with no control whatsoever? Buy this!
463,15/06/09 04:00,5,positive,One of Their Best Flavors
464,11/06/09 04:00,5,positive,Love these chips!
465,18/03/09 03:00,5,positive,Highly addicitive chips
466,15/01/09 03:00,5,positive,These are AWESOME!
467,12/01/09 03:00,5,positive,One bite and youll become a chippoisseur
468,12/01/09 03:00,5,positive,"Crunchy, salty, sweet...finally, a Superbowl snack that scooores!"
469,10/01/09 03:00,5,positive,These chips make me weak at the knees
470,15/09/08 04:00,5,positive,By far my favorite chips
471,11/09/08 04:00,4,neutral,"Good chips, more cheese"
472,27/08/08 04:00,4,neutral,Pretty good tasting chip
473,30/07/08 04:00,4,neutral,Yummy chips
474,30/07/08 04:00,4,neutral,Best sour cream & onion chip Ive had
475,28/07/08 04:00,5,positive,Great chips
476,26/07/08 04:00,5,positive,Fabulous!
477,14/07/08 04:00,5,positive,Box-o-Chips
478,08/07/08 04:00,5,positive,fantastic!you can not beat this taste and you can not resist to it only one if you are spice lover
479,06/07/08 04:00,4,neutral,An addictive potato chip
480,06/07/08 04:00,5,positive,Great Chip!
481,05/07/08 04:00,5,positive,"Excellent balance of taste, crunchiness, and moisture"
482,05/07/08 04:00,5,positive,Yum
483,04/07/08 04:00,5,positive,Very good chips at a great price.
484,30/06/08 04:00,2,neutral,70% of the chips in the bag are over cooked
485,29/06/08 04:00,5,positive,Great chips!
486,21/06/08 04:00,4,neutral,Not bad but a little hard to get used to
487,21/06/08 04:00,4,neutral,Firm quality chip
488,20/06/08 04:00,2,neutral,Not  Very Creamy or Chivey...
489,11/06/08 04:00,3,neutral,Prefer other flavors
490,03/06/08 04:00,5,positive,These will be habit forming!
491,15/05/08 04:00,2,neutral,Good and tangy
492,28/03/08 03:00,5,positive,the best chips ever
493,22/02/08 03:00,5,positive,I do not even like kettle chips and I love these
494,22/02/08 03:00,5,positive,You have to love sea salt and vinegar already
495,20/02/08 03:00,5,positive,Addictive
496,27/01/08 03:00,5,positive,amazing chips
497,04/12/07 03:00,5,positive,Best Chip Ever
498,09/08/07 04:00,4,neutral,"Tangy, spicy, and sweet- oh my!"
